scope,cultivo,variable,trat_1,trat_2,trat_1_label,trat_2_label,n_1,n_2,cohens_d,hedges_g,abs_hedges_g
global,todos,longitud_raiz_cm,T1,T3,INIA,FAO,20,20,0.4865554671457676,0.4768888022355868,0.4768888022355868
global,todos,longitud_raiz_cm,T1,T2,INIA,La Molina,20,19,0.29984358568534886,0.29372432883462746,0.29372432883462746
global,todos,longitud_raiz_cm,T2,T3,La Molina,FAO,19,20,0.24476325624723488,0.23976808775239336,0.23976808775239336
global,todos,longitud_raiz_cm,T3,T4,FAO,Hidroponika,20,20,0.2429138871174385,0.2380877833998735,0.2380877833998735
global,todos,num_hojas,T1,T4,INIA,Hidroponika,20,20,-0.5783179168097992,-0.5668281568731807,0.5668281568731807
global,todos,num_hojas,T1,T2,INIA,La Molina,20,19,-0.5151893648430323,-0.5046752961727664,0.5046752961727664
global,todos,num_hojas,T1,T3,INIA,FAO,20,20,-0.3410983253798675,-0.3343215374584132,0.3343215374584132
global,todos,num_hojas,T3,T4,FAO,Hidroponika,20,20,-0.2924770590771083,-0.2866662565788876,0.2866662565788876
global,todos,num_hojas,T2,T4,La Molina,Hidroponika,19,20,-0.2630390110341078,-0.25767086795177907,0.25767086795177907
global,todos,num_hojas,T2,T3,La Molina,FAO,19,20,0.0701685498097327,0.0687365385891259,0.0687365385891259
global,todos,peso_fresco_g,T1,T4,INIA,Hidroponika,20,20,0.44740034625171476,0.4385115976506873,0.4385115976506873
global,todos,peso_fresco_g,T3,T4,FAO,Hidroponika,20,20,0.28940713040097776,0.28365731986321,0.28365731986321
global,todos,peso_fresco_g,T1,T2,INIA,La Molina,20,19,0.24333710829911886,0.23837104486444297,0.23837104486444297
global,todos,peso_fresco_g,T2,T4,La Molina,Hidroponika,19,20,0.24039865249236061,0.23549255754353693,0.23549255754353693
global,todos,peso_fresco_g,T1,T3,INIA,FAO,20,20,0.11965911478720107,0.11728178138083284,0.11728178138083284
global,todos,peso_fresco_g,T2,T3,La Molina,FAO,19,20,-0.09422333724164039,-0.092300411991811,0.092300411991811
